Dagaare,English
tori, to be right
tori,to speak with anger
tori-buuluŋ,porridge made from corn and boabab flour
toriko,cart
toriko,large metal snare for trapping large animals
torizeɛ,red beret
to-uri,tiny spikes covering the fruit of boabab
tozɔŋe,boabab fruit powder
tɔ,   colleague
tɔ,   to pound 
tɔ,  to touch 
tɔ,  to head-butt  
tɔ,  to get to the end of 
tɔ,   to beat about the bush 
tɔ,  to be ignorant
tɔba,tobacco
tɔbaa,a type of sharp axe used for carving
tɔbɔ,tobacco
tɔge,   an earthenware container with a hole in the bottom for sieving 
tɔge,   fish trap
tɔge,to stop
tɔgele,to imitate
tɔgele,to collect from above e.g. rain water
tɔgele,to turn to face e.g. in a direction
tɔgele,to help deliver a baby
tɔle,to pass by
tɔll,long and cylindrical
tɔnne,to join
tɔnne,to sell  usually at a low price 
tɔnɔ,profit
tɔntɔbaa,at once
tɔŋe,to respond to
tɔŋe,   to be in a queue 
tɔŋe,   to light a fire 
tɔŋe,   to fetch fire
tɔŋe,to light a fire from another fire
tɔŋemɔ,colleague
tɔɔ,all right
tɔɔbɔle,cylinder-shaped pounded tobacco
tɔɔlaa,tobacco pipe
tɔɔlakãa,nicotine
tɔɔre,ball of tobacco
tɔɔre,far
tɔɔvaa,tobacco leaf
tɔɔwuoraa,a shell used in gathering and collecting powdered tobacco  snuff 
tɔɔzɔŋe,powdered tobacco  snuff
tɔre,self  reflexive 
tɔre,to share in pieces
tɔre,   to break easily e.g. weak twine 
tɔre, to cut a small piece  3  to die  ailing child 
tɔre,valuable
tɔ teere,   without any hope hit the rocks  
tɔ teere,  to worsen
tu,to follow a route
tu,to recount
tu,to bring back an attempted  female  divorcee
tu,   to dig  
tu, to uproot
tu ba,to take off quickly e.g. in running
tuli,to make a mistake
tulli,   to change  state 
tulundaa,pestle
tumakuli,burri  a type of small plant with thorny fruits
tumo,one born with the feet coming first instead of the head 
tumo, glutton
tumpaane,large talking drum  a drum that gives messages
tumpaane,slabs of bean flour boiled in leaves
tu noɔre,to narrate
tuntundaana,mosquito net
tunturi,a type of very large hog with powerful claws and tail for digging
tuŋi,to thread  beads 
tuŋi,   to dip e.g. hand in pocket 
tuŋi, to insert a finger into the vagina  defile
tuŋi,   to stumble about to fall
tuŋi,to overgrow e.g. hair
tuo,   to carry e.g. on head  
tuo,   to swell e.g. blister
tuo,   baobab tree  
tuo,  baobab fruit
tuo,   suffering 
tuo,  difficulty
tuo,   bitter e.g. quinine  
tuo,  hot e.g. pepper
tuobu,   load  
tuobu, burden  
tuobu, weight  
tuobu,  luggage
tuori,   to meet face to face  
tuori,  to welcome
tuosoba,person who does not want to make offers to any other person
turi,thousand
turi,   to give from above or below 
turi, to offer one’s hand
tu sori,to be right
tutɔ,companion
tuu,   thicket
tuu,eagle
tuuli,   to trace e.g. line 
tuuli,   to use a finger to apply e.g. ointment  3  to go about
tuuli,   to give to drink e.g. a child 
tuuli,  not deeply immersed  arrow hitting game 
tuuree,Europe or America
tuuri,to pick out
TZ,see saabo
ugi,to expand e.g. cooked rice
ulee,tree branch
uli,fog
uli,   to be dusty  
uli,  to become moldy e.g. food
unni,   unburying something buried  
unni,   to bring back past memories
unni,to remind
uoni,dry season
uori,to warm oneself  by fire
uori,to mourn
uori,to peer  shading one’s face with the hand 
uori,   to bellow  bull  
uori,   to groan  a sound uttered in pain or grief
uri,   itchy stuff 
uri,  chaff
uri,   to take unaware  
uri,  to be shocked
uri,to make burn e.g. fire
uri,hair-like projections on the straw of the grass family and other plants that cause itchiness of the skin
uri,to scrub a very dirty object e.g. cooking pot
ũu,to close tightly  fist
ũu,to bury
uuni,   to crouch
uuni,to form pus e.g. a swelling
uuri,to hoot
uuri,   to smoke out 
uuri,   to warm a place with smoke
uuruŋ,dust
va,   to whip  
va,   to thresh  millet 
va,snatch  to run directly and suddenly at someone seizing him
va,to graze a target  miss narrowly
va,to rush
vaa,leaf
vaa,collect or take everything from a container
vaa,to draw e.g. bowstring
vaa,to lift an opponent’s leg  wrestling 
vaagaviige,I command you  to die 
vaale,to gather e.g. rubbish
vaalee,speck
vaali,quickly
vaane,   to shrink
vaane,shrunken
vãao,courageously
vaare,to wrap oneself
vaare,to tug
vaare,to rinse
vabɔre,spring
vãee,aromatically
vage,sounding like a bird pecking at a soft object  onomatopoeia 
vage,sound of pecking
vakogilo,dried leaves  that once were worn by women 
vakuoŋaa,dry leaf
vakuoŋaa,bad luck
valenvõɔ,mason wasp
valere,to intertwine e.g. weaving
valimmu,a type of small tree with soft large leaves which women used to wear to cover parts of their private parts
valinvaa,   leaf of the palm tree  
valinvaa,  the leaf of the valimmu tree
valinvuuluŋ,soot
valogema,green
vama,effortlessly
vamaaroŋ,green leaf
vanne,to stretch
vapeɛlegboro,a type of tree with medicinal properties
vapɛge,fallen leaf
vapielee,a type of tree with medicinal properties
vapɔrɔ,fresh green leaves
vare,to wrinkle
vare,to make laundry not well washed e.g. clothes
vare,to make the layout of a mound
vare,to jump
vare,to castrate
varekpara,long and loose e.g. twine
varekpenɛ,thick paste from beans
varema,   tough e.g. meat
varevare,to heckle
varevare,to pull along
varoo,tough e.g. meat
ve,to knit
vebo,striking directly e.g. arrow
vedeɛ,sugarcane
veene,a type of small bird with very lean legs  short form of daveene 
veene,to tie tightly
veɛle,to be beautiful
veɛlɛ,beautiful
veɛrɛɛ,to push aside growth e.g. in searching for something in an overgrown bush
veɛre,to fly low and slowly
veɛre,to evade e.g. a verbal attack
veɛrenyɔge,rodent
velaa,   good
vell,full to the brim
velle,to hold the legs tightly in such a way as to make the person lose balance 
velɔɔ,turning instantly
venenne,elastic
venne,to throw off  wrestling 
venoo,wine
venɔɔ,thick and sticky e.g. grease
venveŋ,climax
venveŋ,at the maximum   
vere,to shoot with a catapult
vere,"   to sprain	"
vere, to dislocate  joint 
vere,to make an effort
vere,to fence e.g. garden
verevere,to pull very hard on e.g. tug of war
verɛnverɛŋ,found everywhere
verɛverɛ,scattered all over
vɛ̃ɛ,less sunny
vɛle,to become clear e.g. day
vɛlevɛle,very long and and wavy
vɛmm,smoothly
vɛnɛvɛnɛ,   sticky e.g. honey 
vɛnɛvɛnɛ,   oily
vɛnlɛmm,slim and beautiful
vɛŋe,   to leave
vɛŋe, to let go 
vɛŋe,  to stop
vɛre,to prepare mortar
vɛre,to scatter thick liquid e.g. mortar
vɛre,stony farmland
vɛrɛɛ,lying low e.g. dew-laden grass
vɛvɛ,glidingly e.g. a bird
vi,shame
vigi,owl
vigi,to throw out in a whole  solid waste 
viiri,   to turn around
vilenkyimm,twisted
vilenva,going out of sight  
vilenvileŋ,round
vili,to entwine
vilime,circular
virenvireŋ,totally e.g. refuse
viretaŋgbelli,your limit
vitaŋkpulee,a type of small owl
vo,to make less crowded
vogɛɛ,voluminous e.g. pair of trousers
vokyɔ,   a type of tree with long fruit 
vokyɔ,  the fruit of this tree  used in kneading 
volavola,slimly
volɔvolɔ,slimly
vonne,to throw far away
voŋe,to stay put and refuse to move
võo,to mix
voone,to sound
vooraa,a type of lumpy paste made from bean flour
voore,echo
voore,   to breathe
Vooronsoŋ,Holy Spirit
vooroŋ,   life  
vooroŋ,   breathed air
voowoɔ,womb
voɔ,to pull out
voɔbale,arrow with many hooks
voɔloŋ,slimy sap  from a type of tree  used to settle sediments in liquids
voɔloŋ,slimy
voɔre,   opening
voɔre,to be worn out
voɔre,to get scorched e.g. plants during drought
voɔre,to smear
voraa,a hand drill  see kyaleere
vore,to make a hole through
vore,to weave
vore,foetus
vore,alive
vori,to rot
vorikporo,watery manner
vorovoro,watery
vɔ,to perform a type of ritual for a dead male
vɔga,track
vɔgaa,silk cotton tree
vɔge,   to take off  
vɔge,  to uncover
vɔgɔ,track
vɔlaa,great desire for
vɔle,great desire for meat  carnivorousness
vɔle,to swallow
vu,   to crawl e.g. child 
vu,   to drag along the ground
vubiri,mound for yam plant
vuduori,the act of making yam mounds
vuduoro,one who makes yam mounds
vulaŋkaŋkpogili,final thing
vuloŋkpogili,beetle
vunni,to throw far away
vuo,   space
vuo,hollow
vuoli,   to bark  dog  
vuoli, to hoot  to put to shame 
vutaŋkpulee,gate pillar
vuu,to drag   Ba vuu la a kamaana boɔraa boŋyeni na.
vũu,fire
vũudindigili,   electricity 
vũudindigili, electric light
vũudiraa,flame
vũudirri,a stream of burning
vũugyɛle,lightbulb
vuuli,to singe
vũulunsaa,first rain after the dry season
vuuluŋ,an animal believed to have supernatural power and usually attack people in the night
vuunuŋ,short form of valinvuuluŋ  soot 
vuunimiri,lightbulb
vuuri,to feign  to pretend or attempt to do something  which doesn’t happen 
vuuri,small oar-like stick for stirring porridge
vuuri,yam farm
vũusaalbiri,burning charcoal
vũusaale,burning coal
vũuvaale,a type of bird which hovers around bushes that are being burnt to catch fleeing insects
vũuyɛlɛ,lightbulb
vũuzeɛle,flying burnt particles from a fire e.g. grass
vũuzele,flame
Wa,name of the regional headquarters of the Upper West Region
wa,to come
wa,by the time  before the end of a given time   Te na wa tara ka zivɛlmɛ la. By the time we arrive
waa,yam
waa,   to be  
 A tomɔ waa la yaga., The work is plenty.  
 waa,  to resemble
waabo,snake
waale,to whisper
waale,to parboil
waale,to bruise slightly
waaleŋ,a type of gunpowder  imported 
waaleŋ,like a native of Wa
waaloŋ,   nature
Waaloo,native of Wa
waane,   to dress tightly  pull trousers to navel level 
waane,  to propel
waare,be touched by  liquid
waare,   to burn the cover  when you attempt to burn green grass
waaroŋ,organised group hunting
wadɛre,large yam tuber
wae,nine
waee,at once
wagere,time for something
wagere,to bite on the surface  dog 
wagyɛ,blanket
walaa,antelope
walanse,radio
wale,sweat
walpelaa,a type of antelope
walpieli,A type of big antelope
walpieluu,A type of big antelope
walsugo,group of deer
walsunni,perspiration
walwoɔ,   newcomer
wanwɛ,to be gone forever  
wanwɛ,to fail to return as expected   
Ba toŋ la a bie ka o deɛ gaa te wanwɛ., When they sent the child
waŋene,great one
waŋmane,a hundred yams
ware,coins  money
ware,all gone  people on a journey
warebiri,coins  money
warema,brick
wasaaloŋ,water yam
wasege,yam barn
wasɔŋɔ,a basket of yam
wasugo,see sugo  termites 
waweɛlɛ,seed yam
wazɪɛ,a type of brown snake
we,expression of despair
webe,exclamation of exhaustion
wẽderɛ,leader
weene,to begin to boil
weɛ,   farm 
weɛ,    wilderness
weɛ,   to make a furrow trench e.g. for water to pass  
weɛ,   cut open  usually part of the body in a bid to remove a foreign body or pus  
weɛ,  to push growth aside e.g. in a search for something in a thick growth
weɛ,to save   
A kpogili la weɛ o ka lɛ naane o zu da na ŋmare la., He would have broken his head but he was saved by the crash helmet.
weɛ,not related to
wẽɛ,in front
wẽɛ,to be wild
weɛle,to branch out in lobes  yam seed 
weɛle,to miss out
weɛle,twins
weɛlɛ,mistletoe  a parasitic plant whose fruit is used to produce gum 
weɛlɛ,   in vain
weɛmɛ,wild
weɛre,to search through e.g. brush
wegere,to squeeze through e.g. through a thick crowd
welaa,harbouring evil intentions
wele,to rummage
wele,to dismantle
wele,to reduce in size e.g. obesity
wele,a type of ornament for the arm
welɛnwelɛŋ,vigorous
welɛwelɛ,intermittent spackle
weli,snail
weliweli,clearly visible
welle,   to scrutinize
welli,to make very clear
wenne,to go into the interior e.g. of bush or a crowd
were-bare,to ignore
werekao,wound
werewere,smartly
werɛ,small species
werɛ,mountain
werɛ,in vain
werɛwerɛ,tiny things
werɛwerɛ,coarse  flour 
weri,valuable
weroo,small in stature
wɛ,   then  of cause    
wɛ,   to go bad  
wɛ,not strong or courageous  
wɛbaa,fox
wɛdoŋɔ,a nondomesticated animal
wɛge,   to hatch  
wɛge,  to multiply
wɛge,to remove with a pointed implement e.g. corn from the cob
wɛgere,to force out
wɛle,   to split or break into two
wɛle,   to separate
wɛnyuo,leopard
wɛre,   to cut open  
wɛre,   to operate  
wɛre,  to split
wi,to carve  to engrave
wĩeu,fast
wigiri,to toss to turn over  grain in a basket 
wiiruŋ,design
willi,   to overturn to capsize 
wire,gone far
wiri,to turn inside out e.g. pocket
wiri-buuli,bangles for a horse
wiridaa,male horse
wiriduoruŋ,   jaundice 
wiriduoruŋ,  yellow fever
wiri-eɛraa,metal spur worn on the heel for prodding the horse
wirigoɔ,a type of thorny plant
wirikogi,horse saddle
wirikuoluu,a type of honey-making insect
wirilee,colt
wirinɔbɔŋ,metal ring placed around the muzzle of a horse
wirinyaŋaa,female horse
wirizoore,horse tail
wirizoore,a type of grass
wirizoore,a type of sickness
wirizɔɔnɔ,horse rider
wofẽɛ,a bag made from animal skin without hair
wofeɛmaa,a bag made from animal skin without hair
wofuoraa,a bag made from animal skin without hair
Wogi,a town in the Upper West Region of Ghana
wogi,long
wogiri,to cause to shake e.g. carried container of pebbles
wogiri,to steal cunningly
wogiroŋ,large
wogoko,intense  painful bite 
wokpale,a traditional bag made from an animal skin whose hair has been removed
wola,   how  interrogative pronoun    
Wola ka te na e maale a pɔgebilii bayi bama yelbawontaa ŋa?, How are we going to settle the misunderstanding between the two girls?  
wola,  why  
Wola la ka fo la zeŋe zomm lɛ?, Why are you sitting so quietly? 
wola,  what 
O yeli ka wola?, What did she say?
wolaa,dangerous
woli,leather rope worn on the waist
wolle,to rattle
wolle,to be mischievous -
wolomboll,in disarray or confusion e.g. mob
wolonwoloŋ,haphazard
woloŋ,   disease  
woloŋ, problem
wolowolo,restive
wolɔ,to deceive
wonaa,that which pesters
wontaa,understanding between people
woŋi,   to hear 
woŋi,   to refuse to listen or internalize what has been said  idiomatic usage 
woŋi,"to become deaf, 
woŋi,to suffer from deafness, 
woŋi,to be deaf"
woŋi,"to feel pain, 
woŋi,to suffer"
woŋi, of taste  to be of the correct quantity   Zenɛ
woŋo,deaf person
woo,water iguana
woo,a cry of pity
woore,suffering
woɔ,bag
woɔ,   to remove from the top of e.g. basket of grain 
woɔle,to remove top matter  to skim e.g. yeast from pito
wore,too much  excessive
woroto,crashingly
worɔworɔ,full of lumps
woyaara,part of an animal-skin bag 
wɔge,to treat fresh skin in preparation for making a bag
wɔge,to cause to suffer
wɔgele,to physically suffer
wɔgele,to be burnt by touching a hot object
wɔgele,to treat beans  by soaking and drying 
wɔgere,to shake e.g. objects in a tin
wɔne,   small swelling  
wɔne,  pimple
wɔne,fruit
wɔŋe,   to bear fruit 
wɔŋe, to develop rashes
wɔŋkampɔre,   a yamlike plant that bears fruit which is boiled and eaten 
wɔŋkampɔre, the fruit of this plant
wɔɔ,lame person
wɔɔ,to provide  food for the kitchen 
wɔɔ,   to pluck all the fruits from a tree 
wɔɔ,  to destroy
wɔɔ,to whip mercilessly  figurative 
wɔɔ,to be lame
wɔɔ,elephant
wɔɔgbɛre,   elephantiasis
wɔɔgbɛre, leg of an elephant  
wɔɔgbɛre, difficult task  figurative 
wɔɔkye,watch
wɔɔnu,trunk of an elephant
wɔɔnyene,tusk of an elephant
wɔɔreŋ,   lameness 
wɔɔreŋ,   the act of limping
wuli,   to show
wuliwuli,to rub over gently but fast
wuliwullo,teacher  one who directs
wuluu,   teaching
wuluu bonteɛre,teaching or learning materials
wuluu yelsɛgreminni,lesson notes
wuo,to gather
wuo,to expose  a secret 
wuo,to formally introduce dirge singing at the funeral
wuo,to be lame
wuo,elephant
wurimo,small
wurowuro,not well cooked  underdone  round beans 
wuu,   continuously  
wuu,  having many instances
wuuri,   to hoot  with laughter  
wuuri,  to shout in excitement
ya,to be mad
ya,tomb
ya,to take revenge
ya,expression indicating disbelief
ya,remove from liquid
ya,to remove from liquid
ya,really?
ya,a strap  usually fixed to something for carrying e.g. a bag
yaale,to nurse  a baby 
yaale,to swing a container in circles
yaale,to get to hopelessness
yaane,   greetings  
yaane,  thanks
yaane,exhaustion
yaantulimo,great-grandchild
yaara,easily
yaare,   to spill
yaaroŋ,salt
yãayiri,grandparent’s house
yabapa,resoundingly e.g. noise of a large crowd
Yaga,name of a town in the Dagaaba land
yaga,"many, much, plenty"
yage,   to dredge to enlarge or deepen  
yage,   to increase in size e.g. a sore
yage,  to take off e.g. a shirt 
yage,  to take down from a hanging position e.g. a bag from a hook
yage,to show signs of butter forming e.g. in the last stage in the preparation of shea butter
yage,to remove objects from a container e.g. bag
yage,to open one’s eyes widely  in a concentrated look 
yagekɔɔlare,jawbone
yagekɔɔre,cheek
yagelaa,   a rope holder hung from the ceiling to hold objects  
yagelaa,  a basket with calabashes that is hung on a yagelaa
yagele,to hang  up 
yageraa,clay
yagere,to separate stones from grain
yagere,modelling clay
yakpolo,graveyard
yammo,   bile  
yammo,  gallbladder
yan-yaa,insane person
yanyaare,madness
yaŋaa,grandchild
yeebaa,a twin
yeele,   to make neat  
yeele,  to use water to extract or separate wanted things from unwanted ones
yeele,extremely clean or beautiful
yeere,twins  see yeebaa 
yeɛle,   to winnow
yeɛre,to want attention
yeɛre,underside of the jaw
yelbaaloŋ,an issue under control
yelbaboɔraa,   something that is sought
yelbalaa,a particular issue
yelbalee,a particular issue
yelbanna,one who knows
yelbaŋ,the act of knowing
yelbaŋena,one who knows
yelbeɛ,mysterious
yelbieri,   evil thing 
yelbieri,   sin
yelbiri,   word  
yelbiri,  something that is alluded to
yelbitɔnnaa,conjunction
yelboɔraa,   something that is wanted 
yelboɔraa,   that which one likes 
yelboɔraa, objective
yelbuli,main point
yeldaa,simple sentence
yeldaaraa,   that which one likes
yeldaaraa,  objective  
yeldaaraa,  something negative that affects one but caused by one’s self
yeldeebo,acceptance
yeldɛgere,unpleasant or dirty talk
yel-eebo,behaviour
yel-eraa,something to be done
yelɛnyelɛŋ,clear and clean  water 
yelfaa,evil
yelfa-e,wrongdoing
yelfa-erɛ,evildoer
yelferaa,problem
yelfogilo,useless talk
yelfoli,obscene talk
yelfuoni,imagery  literature 
yelgalema,strange thing
yelgbɔge,   incomplete talk  
yelgbɔge,  grammatical clause
yeli,  something of concern 
yeli,  matter
yeli,sentence
yeli,   to speak
yelkaama,   beautiful talk  
yelkaama,   literature
yelkãasɛgere,written literature
yelkãayelli,oral literature
yelkabeɛ,strange thing
yelkpeɛŋaa,difficult thing
yel-lige,   that which is unclear 
yel-lige, mysterious thing
yel-lige,hidden
yelmaalaa,rite
yelmaalaa,something that needs to be rectified
yelmaaroŋ,peaceful talk
yelmannaa,   comparison 
yelmannaa, narrative
yelmanne,the act of narrating
yelmeŋɛ,truth
yelnimiri,main idea
yelnoɔ,   interesting thing 
yelnoɔ,  good news
yelnɔnaa,something that is liked
yelpaala,new thing
yelpɛgere,sayings that have no value
yelsaana,strange or new thing
yelsaana,   destroyer 
yelsaana,   one who meddles in issues
yelsaanaa,something that has gone wrong
yelsoŋ,good deed
yelsɔgelaa,mysterious thing
yeltegeroŋ,difficult position
yeltoloŋ,serious matter
yeltɔgelaa,that which can be imitated
yeltɔre,something of worth or value
yeltulimo,opposite
yeltuluu,mistaken talk
yeltuo,difficult thing
yeltuuraa,rite
yeluu,saying
yelwiiraa,poem
yelwiiri,poetry
yelwonaa,   that which is a challenge  problem  
yelwonaa, something that is heard
yelwono,   listener
yelwontaa,compromise
yelyelbaraa,statement  grammar 
yelyeluu,issues that cause anger
yelzagera,one who refuses or disobeys
yeme,slave
yempɔge,female slave
yendɔɔ,male slave
yeni,one
yensogɔ,night
yeŋ,where
yeŋe,outside
yɛ,you  second person plural weak form 
yɛ,to become exhausted
yɛle,cockroach
yɛle,   to multiply e.g. animals reproducing  
yɛle,  to enlarge
yɛlɛ,   an issue  
yɛlɛ,   discussion
yɛmbaŋ,cleverness
yɛmbaŋena,one who has good sense
yɛmbile,small intelligence
yɛnkyeerɛ,little mind
yɛnkyeeroo,prudence
yɛnlige,unclear mind
yɛnnyaa,the act of developing intelligence
yɛnwuli,the act of teaching sense
yɛnwuluu,the act of teaching sense or conscience
yɛnyɛŋ,near
yeŋ,kindly e.g. in an appeal
yeŋe,intelligent
yeŋe,intelligence
yɛre,   to wear
yɛre,to trade
yɛre,   to spread out e.g. to dry  
yɛre,  to hunt in a group
yɛre,wild  used with crops e.g. groundnuts
yɛreyɛrɛ,trader
yɛroŋ,trade
yi,   to go out
yi,to be clean
yi,to resemble
yi,of land  become infertile
yi,to lose taste e.g. beer
yidaampɔge,head woman in a family  mistress of a compound
yidaana,house owner
yidaandɔɔ,male head of a family  master of of compound
yideme,family group  family members
yĩe,to faint
yieli,to sing
yieluŋ,song  music
yieme,slave
yieri,to extend
yĩeu,spectacle
yigileŋ,perched in a lonely manner
yi kyeɛ,uninteresting
yinni,   to forget 
yinni,  collect farm yield left behind after the main harvest
yiri,   house
yivilime,round compound
yobie,ill luck
yofaa,a name that stigmatizes
yofuu,abstract noun
yogi,to eat
yogi,enough
yogili,to pamper
yogoko,very sweet
yo-iri,glory
yokyigiraa,fishing pot
yololo,very cold
yoluŋ,cone-shaped cage
yoluŋ,emptiness e.g. wearing a blouse or shirt without a singlet or a vest under it
yombo,black hair dye
yontaa,   wife in a polygamous marriage 
yontaa,  relationship between wives in a polygamous marriage  
yontaa,  enemy  figurative 
yoŋ,  alone  
yoŋ,   only
yoo,   okay 
yoo,  be informed
yoɔ,to stop raining
yoɔbo,   the act of roaming
yoɔbo,the stoppage of rain
yoɔbo,short form of six
yoɔle,to escape slowly e.g. from a punctured tyre
yoɔle,to melt
yoɔne,a type of small
Yoɔraa,a traditional name given to a child believed to be reincarnated
yoɔraa,tourist
yoɔre,penis
yoɔre,   to cause to be exhausted or emotionless  
yoɔre, to bother
yopõi,short form of ayoɔpõi  seven 
yopɔgeraa,fishing pot
yopɔgeraa,lid
yoreyoree,to break into little bits
yori,to make a loop
yori,to dismantle a loop
yorombiri,herring
yorɔyorɔ,smallish  usually in size
yosãa,slander
yoyogibiri,a type of small flying insect that makes tambalaaraa  a type of honey 
yɔ,to wander
yɔge,to loosen e.g. hard substance  soil 
yɔgele,to be near
yɔgere,farm field around the compound
yɔgere,to loosen e.g. of a string tied to something
yɔgere,to be loose
yɔgevaa,pumpkin leaf
yɔgevaare,leaves of pumpkin  used as vegetable 
yɔgevaare-waabo,green mamba
yɔgoo,   pumpkin 
yɔgoo, the plant which bears the fruit
yɔgoo,   a type of large
yɔkɔɔloŋ,pubic hair of a male
yɔle,to slip off as a result of being loose e.g. shorts
yɔlpelaa,a type of tree with edible fruits
yɔlzeɛ,a type of tree with grey bark
yɔmɔ,free and plentiful
yɔɔ,sibling  used between individuals of the same sex 
yɔɔ,strophantus  a type of tree with highly poisonous sap 
yɔɔ,to pay
yɔɔ,freely e.g. of liquid being poured
yɔɔdɔɔ,brother  used by females to address male siblings 
yɔɔlee,younger sibling  used between individuals of the same sex 
yɔɔpɔge,sister  used by males to address female siblings 
yɔɔpuulee,"female sibling  usually less older  see kpɪɛ́ mɛ́	́"
yɔɔre,payment
yɔre,to fall apart
yɔre,   to become intense e.g. rainfall 
yɔre,  to become widespread  disease   
yɔre,  that which is plenty
Yɔrebaa,Yoruba  an ethnic group found in Nigeria 
yɔrebɔnɔ,loosely
yɔrɔyɔrɔ,not firm
yuli,to leak slowly
yuloo,object on which bows are hung
yuo,to open
yuo,different
yuonaa,this year
Yuoni,name given to a child born after nine months of pregnancy
yuoni,year
yuoni,the crop of a bird
yuoni ŋa,this year
yuoni-yuoni,annually
yuori,jar
yuori,   name 
yuori, reputation 
yuori,  namesake
yuuli,to spread small amount on top of e.g. dry cement
za,to throw
za,to palpitate  of heart 
zaa,all
zãa,yesterday  short form of zaameŋ
zãa,hazy
zaale,   to move water around in a container by swinging the container around 
zaale,   to commit suicide by hanging oneself
zaameŋ,yesterday
zaayee,surprisingly
zabage,foe
zaboraa,person under review
zabɔge,foe
zaga,   animal or poultry pen  
zaga,    mortuary
zage,head cold
zage,to be worn out
zage,enclosure for animals
zagedie,main chamber in a rodent’s burrow
zagela,one being referred to
zagelaa,empty
zagepɛmpɛlɛŋ,spleen
zagere,to refuse
zagezage,to harass
zalball,airborne
zalle,   to swing  
zalle,   to commit suicide by hanging oneself
zamaa,confused
zamasoba,one that is homeless
zambaa,a type of small striped bush mouse
zambadaa,stilt
zambateraa,a type of striped mouse
zambayɛlɛ,lying in a manner with face up
zambɛre,   a blacksmith’s shop  
zambɛre,  god of the forge
Zambɔ,name of a village near Lawra in the Upper West Region of Ghana
zamm,huge but light
zammo,onion
zammuli,tree
zamparemuu,wrist guard for archery
zampoŋ,hedgehog
zampoone,young and helpless e.g. chick
zane,wrist guard for archery
zanne,to thresh neatly or completely
zanne,to learn
zanne,to dream
zannoŋ,dream
zannoo,dream
zannoo,education
zannzanna,learner
zannyuu,garlic
zanzakpiri-duoruŋ,ringworm
zanzakpirime,small bat
zanzansɔglaa,a type of blackish-grey fruit bat
zanzantokele,a type of bat
zanzanzeɛ,a type of reddish-brown bat
zanzaŋ,intensely e.g. heat
zanzaŋaa,bat
zanzaŋaa,a type of shellfish similar to a clam  
zanzaŋaa, the shell of this shelfish
zanzaŋkpara,the act of jumping up and down in hysteria
zanzunmuli,a type of tree with medicinal properties
zaŋaa,shell
zaŋe,to itch
zaŋgalaŋ,veranda
zaŋgbaale,dome-shaped cage
zaŋkpegiri,a type of hard pimple
zare,large metal hammer used in the forge
zarema,rags
zazaakɔɔ,steady
zẽe,blood
zẽetẽe,medicine that helps improve the level of blood in the body
zẽewoɔ,blood vessel
zeɛ,late millet
zeɛ,to snatch
zeɛ,reddish brown
zeɛ,serious
zẽɛ,acid
zẽɛ,fortification for one who has committed murder or killed an animal believed to have supernatural powers
zẽɛ,to be needed
zẽɛdãa,local beer prepared solely for ritual purposes
zeɛ-genegene,brown
zẽɛgoɔ,a type of tree with medicinal properties
zeɛmaa,open ground where millet is gathered
Zeɛmɛ,name traditionally given to the firstborn of twins  male 
Zẽɛpɔge,name traditionally given to the firstborn of twins  female 
zeɛraa,sieve
zeɛraa,hawk
zeɛre,   sauce 
zeɛre,  soup
zeɛre,to hate
zeɛre,to trot
zeɛre,to be in haste
zege,to grow to maturity and full strength
zegere,to shrug  raise one’s shoulders
zegere,to grow to maturity
zegezege,to be impatient
zegɛ,   area behind and between the shoulders 
zegɛ,  hump  of a cow 
zegitege,not moving at all
zele,tongue
zelegannoɔre,a type small bird with blue feathers and a long beak that is fond of flowers
zelɛzelɛ,slim
zelgannoɔre,a type of small bird with a very long curved beak
zell,filled to the brim
zelpĩi,a type of disease that affects the tongue of dogs causing them to not eat
zemberemɛ,a type of tree whose fruit gives red juice
Zempɛnne,name of a village
zenɛ,today
zenɛbie,nowadays
zenzie,   sitting place  
zenzie,  settlement
zeŋe,   to sit
zeŋgbiri,sleeping sickness
zɛ,to smear
zɛ,to sift
zɛ,to hate
zɛdambo,unseasoned soup
zɛdogelee,earthenware cooking pot for soup
zɛɛ,sticking onto all over e.g. fruits on a tree
zɛge,   to raise
zɛgelɛkɛlɛ,not missing out
zɛgere,   to shake  hands  
zɛgere,  to shake in the hand to weigh
zɛgeroŋ,   something that has worth 
zɛgeroŋ,   something that has scent
zɛkõɔ,soup that is not thick  broth-like
zɛle,   to apply poison  to be filled with venom  
zɛle, to be furious  
zɛle,  to be bitter 
zɛle,to lift
zɛle,to beg  Northern Dagaare dialect 
zɛlezɛle,to move a heavy load with difficulty
zɛlɛŋkpɛ,hanging loosely
zɛlle,   to swing  
zɛlle,  to commit suicide by hanging oneself
zɛmbɛre,   a blacksmith’s shop 
zɛmbɛre,  god of the forge
zɛmɛzɛmɛ,long and flexible e.g. cane
zɛmiime,sour sauce
zɛmm,quietly
zɛnzɛŋ,   to be impatient  
zɛnzɛŋ,   to be eager
zɛnzɛŋ,impatience
zɛŋ,to lift
zɛŋe,to shake e.g. tree
zɛrekpɛrɛ,hanging or swelling all over e.g. fruits
zɛremɛ,rags
zɛroo,fleshy and loose  hanging 
zɛvaa,vegetable
zibalaa,odd place
zibalaa,detour
ziberaa,the place where a person or something is
ziberaa,late night
zibiri,clitoris
zibu,python
zie,place
zie,weather
